FactID,year,monthkey,monthname,province,inflection,rainfall,rainyday,latitude,longitude,heightabovemsl
1,2015,1,January,Bangkok,0,3.5,4,13.72638889,100.56,3.01
2,2015,1,January,Samut Prakarn,353,-1,-1,-1,-1,-1
3,2015,1,January,Nonthaburi,86,-1,-1,-1,-1,-1
4,2015,1,January,Pathum Thani,15,8.6,3,14.1,100.6166667,6
5,2015,1,January,Phra Nakhon Si Ayutthaya,31,-1,-1,-1,-1,-1
6,2015,1,January,Ang Thong,12,-1,-1,-1,-1,-1
7,2015,1,January,Lop Buri,90,6.2,2,14.79972222,100.645,10
8,2015,1,January,Sing Buri,12,-1,-1,-1,-1,-1
9,2015,1,January,Chai Nat,6,1.8,2,15.15,100.1833333,15
10,2015,1,January,Saraburi,0,-1,-1,-1,-1,-1
11,2015,1,January,Chon Buri,396,0,0,13.36666667,100.9833333,0.86
12,2015,1,January,Rayong,204,1.4,2,12.63222222,101.3436111,2.6
13,2015,1,January,Chanthaburi,12,12.3,2,12.61666667,102.1133333,2.68
14,2015,1,January,Trat,20,16.2,1,11.76666667,102.8833333,2
15,2015,1,January,Chachoengsao,18,2,2,13.51555556,101.4583333,70.17
16,2015,1,January,Prachin Buri,222,6,1,14.05841667,101.3693056,5.14
17,2015,1,January,Nakhon Nayok,24,-1,-1,-1,-1,-1
18,2015,1,January,Sa kaeo,0,-1,-1,-1,-1,-1
19,2015,1,January,Nakhon Ratchasima,20,0.9,1,14.96830556,102.0860278,186.6
20,2015,1,January,Buri Ram,54,0,0,15.22575,103.2480833,182
21,2015,1,January,Surin,78,0.1,1,14.88333333,103.5,145.81
22,2015,1,January,Si Sa Ket,0,0,0,15,104.05,122.87
23,2015,1,January,Ubon Ratchathani,168,0,0,15.25,104.8666667,122
24,2015,1,January,Yasothon,12,-1,-1,-1,-1,-1
25,2015,1,January,Chaiyaphum,0,0,0,15.8,102.0333333,182.15
26,2015,1,January,Amnat Charoen,30,-1,-1,-1,-1,-1
27,2015,1,January,Bueng Kan,6,-1,-1,-1,-1,-1
28,2015,1,January,Nong Bua Lam Phu,0,-1,-1,-1,-1,-1
29,2015,1,January,Khon Kaen,84,0,0,16.46111111,102.7897222,186.97
30,2015,1,January,Udon Thani,21,2.4,2,17.38333333,102.8,177
31,2015,1,January,Loei,6,12,2,17.45,101.7333333,252.51
32,2015,1,January,Nong Khai,0,15.4,2,17.86716667,102.7330278,173.21
33,2015,1,January,Maha Sarakham,42,0,0,16.24722222,103.0680556,153
34,2015,1,January,Roi Et,18,0,0,16.02,103.7438889,140
35,2015,1,January,Kalasin,0,0,0,16.3325,103.5883333,138.75
36,2015,1,January,Sakon Nakhon,0,3.2,2,17.15,104.1333333,171
37,2015,1,January,Nakhon Phanom,6,2.4,1,17.41083333,104.7825,140
38,2015,1,January,Mukdahan,0,0,0,16.54138889,104.7288889,138
39,2015,1,January,Chiang Mai,6,78.9,2,18.79,98.97694444,313.2
40,2015,1,January,Lamphun,6,62.2,2,18.56722222,99.03388889,296.42
41,2015,1,January,Lampang,12,79.5,4,18.28333333,99.51666667,242
42,2015,1,January,Uttaradit,60,43.2,4,17.61666667,100.1,63
43,2015,1,January,Phrae,0,53.1,3,18.16666667,100.1666667,161.79
44,2015,1,January,Nan,0,55.3,4,18.77972222,100.7777778,200
45,2015,1,January,Phayao,0,77.2,3,19.13333333,99.9,396.89
46,2015,1,January,Chiang Rai,0,58.5,4,19.96138889,99.88138889,390
47,2015,1,January,Mae Hong Son,70,9.2,2,19.29897222,97.97577778,267.74
48,2015,1,January,Nakhon Sawan,12,6.6,3,15.67183333,100.1323611,33.91
49,2015,1,January,Uthai Thani,60,-1,-1,-1,-1,-1
50,2015,1,January,Kamphaeng Phet,42,40.1,4,16.48680556,99.52697222,80
51,2015,1,January,Tak,108,55.8,4,16.87833333,99.14333333,125.62
52,2015,1,January,Sukhothai,36,40,4,17.10611111,99.8,48.29
53,2015,1,January,Phitsanulok,70,14.8,3,16.79480556,100.2793056,44.02
54,2015,1,January,Phichit,16,2.4,3,16.43805556,100.2925,35.95
55,2015,1,January,Phetchabun,44,0.3,1,16.43333333,101.15,114
56,2015,1,January,Ratchaburi,0,3.2,2,13.48930556,99.79238889,5
57,2015,1,January,Kanchanaburi,310,25.7,2,14.0225,99.53583333,27.53
58,2015,1,January,Suphan Buri,48,11.5,4,14.47444444,100.1388889,7.23
59,2015,1,January,Nakhon Pathom,55,9.5,3,14.01166667,99.97,7.46
60,2015,1,January,Samut Sakhon,54,-1,-1,-1,-1,-1
61,2015,1,January,Samut Songkhram,142,-1,-1,-1,-1,-1
62,2015,1,January,Phetchaburi,314,17.3,1,12.99944444,100.0605556,2.01
63,2015,1,January,Prachuap Khiri Khan,168,11.4,3,11.83333333,99.83333333,4
64,2015,1,January,Nakhon Si Thammarat,531,69.5,12,8.537777778,99.96388889,3.14
65,2015,1,January,Krabi,6,73.8,4,8.103611111,98.97527778,8
66,2015,1,January,Phang-nga,84,-1,-1,-1,-1,-1
67,2015,1,January,Phuket,72,2.4,5,7.883333333,98.4,1.83
68,2015,1,January,Surat Thani,707,28.1,4,9.135555556,99.15194444,5
69,2015,1,January,Ranong,98,0.4,1,9.983333333,98.61666667,7
70,2015,1,January,Chumphon,48,104.2,4,10.49875,99.18847222,4.4
71,2015,1,January,Songkhla,78,43.2,9,7.182111111,100.6076944,4.57
72,2015,1,January,Satun,12,35.9,4,6.65,100.0833333,4.06
73,2015,1,January,Trang,132,26,3,7.516666667,99.61666667,14.32
74,2015,1,January,Phatthalung,673,45.3,12,7.583333333,100.1666667,2
75,2015,1,January,Pattani,18,10.2,5,6.783333333,101.15,4.05
76,2015,1,January,Yala,42,61.8,7,6.516666667,101.2833333,30
77,2015,1,January,Narathiwat,105,62.8,8,6.416666667,101.8166667,3.57
78,2015,2,February,Bangkok,0,16.8,3,13.72638889,100.56,3.01
79,2015,2,February,Samut Prakarn,315,-1,-1,-1,-1,-1
80,2015,2,February,Nonthaburi,36,-1,-1,-1,-1,-1
81,2015,2,February,Pathum Thani,18,12.6,3,14.1,100.6166667,6
82,2015,2,February,Phra Nakhon Si Ayutthaya,14,-1,-1,-1,-1,-1
83,2015,2,February,Ang Thong,0,-1,-1,-1,-1,-1
84,2015,2,February,Lop Buri,45,11.22,2,14.79972222,100.645,10
85,2015,2,February,Sing Buri,0,-1,-1,-1,-1,-1
86,2015,2,February,Chai Nat,18,13.8,4,15.15,100.1833333,15
87,2015,2,February,Saraburi,0,-1,-1,-1,-1,-1
88,2015,2,February,Chon Buri,198,13.6,3,13.36666667,100.9833333,0.86
89,2015,2,February,Rayong,225,38.8,3,12.63222222,101.3436111,2.6
90,2015,2,February,Chanthaburi,54,36,6,12.61666667,102.1133333,2.68
91,2015,2,February,Trat,5,2.62,4,11.76666667,102.8833333,2
92,2015,2,February,Chachoengsao,0,42.8,7,13.51555556,101.4583333,70.17
93,2015,2,February,Prachin Buri,138,26.2,4,14.05841667,101.3693056,5.14
94,2015,2,February,Nakhon Nayok,0,-1,-1,-1,-1,-1
95,2015,2,February,Sa kaeo,0,-1,-1,-1,-1,-1
96,2015,2,February,Nakhon Ratchasima,69,17.2,6,14.96830556,102.0860278,186.6
97,2015,2,February,Buri Ram,114,21.3,6,15.22575,103.2480833,182
98,2015,2,February,Surin,6,21.4,5,14.88333333,103.5,145.81
99,2015,2,February,Si Sa Ket,0,53.52,6,15,104.05,122.87
100,2015,2,February,Ubon Ratchathani,270,42.1,6,15.25,104.8666667,122
101,2015,2,February,Yasothon,0,-1,-1,-1,-1,-1
102,2015,2,February,Chaiyaphum,0,25.5,4,15.8,102.0333333,182.15
