factID,yearAD,monthkey,monthEN,provinceEN,inflection
47,2015,1,January,Mae Hong Son,70
124,2015,2,February,Mae Hong Son,24
201,2015,3,March,Mae Hong Son,12
278,2015,4,April,Mae Hong Son,12
355,2015,5,May,Mae Hong Son,28
432,2015,6,June,Mae Hong Son,416
509,2015,7,July,Mae Hong Son,738
586,2015,8,August,Mae Hong Son,915
663,2015,9,September,Mae Hong Son,309
740,2015,10,October,Mae Hong Son,246
817,2015,11,November,Mae Hong Son,426
894,2015,12,December,Mae Hong Son,0
971,2016,1,January,Mae Hong Son,162
1048,2016,2,February,Mae Hong Son,114
1125,2016,3,March,Mae Hong Son,108
1202,2016,4,April,Mae Hong Son,210
1279,2016,5,May,Mae Hong Son,586
1356,2016,6,June,Mae Hong Son,463
1433,2016,7,July,Mae Hong Son,1004
1510,2016,8,August,Mae Hong Son,1218
1587,2016,9,September,Mae Hong Son,1092
1664,2016,10,October,Mae Hong Son,632
1741,2016,11,November,Mae Hong Son,288
1818,2016,12,December,Mae Hong Son,24
1895,2017,1,January,Mae Hong Son,48
1972,2017,2,February,Mae Hong Son,42
2049,2017,3,March,Mae Hong Son,18
2126,2017,4,April,Mae Hong Son,54
2203,2017,5,May,Mae Hong Son,126
2280,2017,6,June,Mae Hong Son,336
2357,2017,7,July,Mae Hong Son,366
2434,2017,8,August,Mae Hong Son,273
2511,2017,9,September,Mae Hong Son,126
2588,2017,11,November,Mae Hong Son,144
2665,2017,12,December,Mae Hong Son,69
2742,2018,1,January,Mae Hong Son,72
2819,2018,2,February,Mae Hong Son,12
2896,2018,3,March,Mae Hong Son,6
2973,2018,4,April,Mae Hong Son,36
3050,2018,5,May,Mae Hong Son,120
3127,2018,6,June,Mae Hong Son,432
3204,2018,7,July,Mae Hong Son,590
3281,2018,8,August,Mae Hong Son,312
3358,2018,9,September,Mae Hong Son,222
3435,2018,10,October,Mae Hong Son,120
3512,2018,11,November,Mae Hong Son,74
3589,2018,12,December,Mae Hong Son,110
3666,2019,1,January,Mae Hong Son,126
3743,2019,2,February,Mae Hong Son,24
3820,2019,3,March,Mae Hong Son,24
3897,2019,4,April,Mae Hong Son,12
3974,2019,5,May,Mae Hong Son,18
4051,2019,6,June,Mae Hong Son,66
4128,2019,7,July,Mae Hong Son,170
4205,2019,8,August,Mae Hong Son,336
4282,2019,9,September,Mae Hong Son,496
4359,2019,10,October,Mae Hong Son,276
4436,2019,11,November,Mae Hong Son,66
4513,2019,12,December,Mae Hong Son,111
4590,2020,1,January,Mae Hong Son,18
4667,2020,2,February,Mae Hong Son,6
4744,2020,3,March,Mae Hong Son,36
4821,2020,4,April,Mae Hong Son,102
4898,2020,5,May,Mae Hong Son,78
4975,2020,6,June,Mae Hong Son,66
5052,2020,7,July,Mae Hong Son,624
5129,2020,8,August,Mae Hong Son,582
5206,2020,9,September,Mae Hong Son,414
5283,2020,10,October,Mae Hong Son,618
5360,2020,11,November,Mae Hong Son,216
5437,2020,12,December,Mae Hong Son,42
