factID,yearAD,monthkey,monthEN,provinceEN,inflection
74,2015,1,January,Phatthalung,673
151,2015,2,February,Phatthalung,146
228,2015,3,March,Phatthalung,124
305,2015,4,April,Phatthalung,118
382,2015,5,May,Phatthalung,230
459,2015,6,June,Phatthalung,455
536,2015,7,July,Phatthalung,500
613,2015,8,August,Phatthalung,597
690,2015,9,September,Phatthalung,344
767,2015,10,October,Phatthalung,444
844,2015,11,November,Phatthalung,792
921,2015,12,December,Phatthalung,771
998,2016,1,January,Phatthalung,800
1075,2016,2,February,Phatthalung,546
1152,2016,3,March,Phatthalung,373
1229,2016,4,April,Phatthalung,178
1306,2016,5,May,Phatthalung,114
1383,2016,6,June,Phatthalung,246
1460,2016,7,July,Phatthalung,1147
1537,2016,8,August,Phatthalung,1291
1614,2016,9,September,Phatthalung,1635
1691,2016,10,October,Phatthalung,1376
1768,2016,11,November,Phatthalung,1275
1845,2016,12,December,Phatthalung,1577
1922,2017,1,January,Phatthalung,1625
1999,2017,2,February,Phatthalung,1051
2076,2017,3,March,Phatthalung,1078
2153,2017,4,April,Phatthalung,588
2230,2017,5,May,Phatthalung,730
2307,2017,6,June,Phatthalung,1040
2384,2017,7,July,Phatthalung,460
2461,2017,8,August,Phatthalung,504
2538,2017,9,September,Phatthalung,537
2615,2017,11,November,Phatthalung,516
2692,2017,12,December,Phatthalung,313
2769,2018,1,January,Phatthalung,563
2846,2018,2,February,Phatthalung,275
2923,2018,3,March,Phatthalung,252
3000,2018,4,April,Phatthalung,276
3077,2018,5,May,Phatthalung,690
3154,2018,6,June,Phatthalung,1040
3231,2018,7,July,Phatthalung,810
3308,2018,8,August,Phatthalung,879
3385,2018,9,September,Phatthalung,911
3462,2018,10,October,Phatthalung,1046
3539,2018,11,November,Phatthalung,1288
3616,2018,12,December,Phatthalung,770
3693,2019,1,January,Phatthalung,721
3770,2019,2,February,Phatthalung,678
3847,2019,3,March,Phatthalung,584
3924,2019,4,April,Phatthalung,479
4001,2019,5,May,Phatthalung,645
4078,2019,6,June,Phatthalung,1025
4155,2019,7,July,Phatthalung,2063
4232,2019,8,August,Phatthalung,3179
4309,2019,9,September,Phatthalung,2946
4386,2019,10,October,Phatthalung,2312
4463,2019,11,November,Phatthalung,1391
4540,2019,12,December,Phatthalung,563
4617,2020,1,January,Phatthalung,770
4694,2020,2,February,Phatthalung,536
4771,2020,3,March,Phatthalung,305
4848,2020,4,April,Phatthalung,246
4925,2020,5,May,Phatthalung,177
5002,2020,6,June,Phatthalung,543
5079,2020,7,July,Phatthalung,734
5156,2020,8,August,Phatthalung,402
5233,2020,9,September,Phatthalung,222
5310,2020,10,October,Phatthalung,182
5387,2020,11,November,Phatthalung,84
5464,2020,12,December,Phatthalung,68
