factID,yearAD,monthkey,monthEN,provinceEN,inflection
68,2015,1,January,Surat Thani,707
145,2015,2,February,Surat Thani,377
222,2015,3,March,Surat Thani,264
299,2015,4,April,Surat Thani,274
376,2015,5,May,Surat Thani,393
453,2015,6,June,Surat Thani,960
530,2015,7,July,Surat Thani,1101
607,2015,8,August,Surat Thani,1271
684,2015,9,September,Surat Thani,919
761,2015,10,October,Surat Thani,936
838,2015,11,November,Surat Thani,1092
915,2015,12,December,Surat Thani,147
992,2016,1,January,Surat Thani,151
1069,2016,2,February,Surat Thani,99
1146,2016,3,March,Surat Thani,104
1223,2016,4,April,Surat Thani,47
1300,2016,5,May,Surat Thani,46
1377,2016,6,June,Surat Thani,70
1454,2016,7,July,Surat Thani,133
1531,2016,8,August,Surat Thani,161
1608,2016,9,September,Surat Thani,179
1685,2016,10,October,Surat Thani,148
1762,2016,11,November,Surat Thani,110
1839,2016,12,December,Surat Thani,7
1916,2017,1,January,Surat Thani,793
1993,2017,2,February,Surat Thani,783
2070,2017,3,March,Surat Thani,822
2147,2017,4,April,Surat Thani,796
2224,2017,5,May,Surat Thani,1077
2301,2017,6,June,Surat Thani,1509
2378,2017,7,July,Surat Thani,1369
2455,2017,8,August,Surat Thani,1189
2532,2017,9,September,Surat Thani,1280
2609,2017,11,November,Surat Thani,753
2686,2017,12,December,Surat Thani,161
2763,2018,1,January,Surat Thani,829
2840,2018,2,February,Surat Thani,991
2917,2018,3,March,Surat Thani,881
2994,2018,4,April,Surat Thani,1080
3071,2018,5,May,Surat Thani,2319
3148,2018,6,June,Surat Thani,4195
3225,2018,7,July,Surat Thani,4451
3302,2018,8,August,Surat Thani,3342
3379,2018,9,September,Surat Thani,2168
3456,2018,10,October,Surat Thani,1806
3533,2018,11,November,Surat Thani,964
3610,2018,12,December,Surat Thani,511
3687,2019,1,January,Surat Thani,940
3764,2019,2,February,Surat Thani,785
3841,2019,3,March,Surat Thani,606
3918,2019,4,April,Surat Thani,469
3995,2019,5,May,Surat Thani,724
4072,2019,6,June,Surat Thani,1444
4149,2019,7,July,Surat Thani,2440
4226,2019,8,August,Surat Thani,1927
4303,2019,9,September,Surat Thani,1445
4380,2019,10,October,Surat Thani,1538
4457,2019,11,November,Surat Thani,912
4534,2019,12,December,Surat Thani,301
4611,2020,1,January,Surat Thani,1195
4688,2020,2,February,Surat Thani,504
4765,2020,3,March,Surat Thani,268
4842,2020,4,April,Surat Thani,384
4919,2020,5,May,Surat Thani,668
4996,2020,6,June,Surat Thani,1175
5073,2020,7,July,Surat Thani,1384
5150,2020,8,August,Surat Thani,1148
5227,2020,9,September,Surat Thani,451
5304,2020,10,October,Surat Thani,280
5381,2020,11,November,Surat Thani,188
5458,2020,12,December,Surat Thani,53
