factID,yearAD,monthkey,monthEN,provinceEN,inflection
23,2015,1,January,Ubon Ratchathani,168
100,2015,2,February,Ubon Ratchathani,270
177,2015,3,March,Ubon Ratchathani,769
254,2015,4,April,Ubon Ratchathani,1478
331,2015,5,May,Ubon Ratchathani,2927
408,2015,6,June,Ubon Ratchathani,6138
485,2015,7,July,Ubon Ratchathani,10817
562,2015,8,August,Ubon Ratchathani,7854
639,2015,9,September,Ubon Ratchathani,3385
716,2015,10,October,Ubon Ratchathani,2213
793,2015,11,November,Ubon Ratchathani,4446
870,2015,12,December,Ubon Ratchathani,846
947,2016,1,January,Ubon Ratchathani,2189
1024,2016,2,February,Ubon Ratchathani,2179
1101,2016,3,March,Ubon Ratchathani,2466
1178,2016,4,April,Ubon Ratchathani,1642
1255,2016,5,May,Ubon Ratchathani,1107
1332,2016,6,June,Ubon Ratchathani,3988
1409,2016,7,July,Ubon Ratchathani,6576
1486,2016,8,August,Ubon Ratchathani,5791
1563,2016,9,September,Ubon Ratchathani,4779
1640,2016,10,October,Ubon Ratchathani,2557
1717,2016,11,November,Ubon Ratchathani,973
1794,2016,12,December,Ubon Ratchathani,90
1871,2017,1,January,Ubon Ratchathani,378
1948,2017,2,February,Ubon Ratchathani,440
2025,2017,3,March,Ubon Ratchathani,438
2102,2017,4,April,Ubon Ratchathani,399
2179,2017,5,May,Ubon Ratchathani,1250
2256,2017,6,June,Ubon Ratchathani,3419
2333,2017,7,July,Ubon Ratchathani,4390
2410,2017,8,August,Ubon Ratchathani,4106
2487,2017,9,September,Ubon Ratchathani,2454
2564,2017,11,November,Ubon Ratchathani,252
2641,2017,12,December,Ubon Ratchathani,115
2718,2018,1,January,Ubon Ratchathani,120
2795,2018,2,February,Ubon Ratchathani,133
2872,2018,3,March,Ubon Ratchathani,500
2949,2018,4,April,Ubon Ratchathani,608
3026,2018,5,May,Ubon Ratchathani,3478
3103,2018,6,June,Ubon Ratchathani,5256
3180,2018,7,July,Ubon Ratchathani,4585
3257,2018,8,August,Ubon Ratchathani,2799
3334,2018,9,September,Ubon Ratchathani,1326
3411,2018,10,October,Ubon Ratchathani,550
3488,2018,11,November,Ubon Ratchathani,324
3565,2018,12,December,Ubon Ratchathani,201
3642,2019,1,January,Ubon Ratchathani,741
3719,2019,2,February,Ubon Ratchathani,915
3796,2019,3,March,Ubon Ratchathani,2183
3873,2019,4,April,Ubon Ratchathani,2069
3950,2019,5,May,Ubon Ratchathani,5979
4027,2019,6,June,Ubon Ratchathani,12414
4104,2019,7,July,Ubon Ratchathani,9890
4181,2019,8,August,Ubon Ratchathani,6175
4258,2019,9,September,Ubon Ratchathani,3757
4335,2019,10,October,Ubon Ratchathani,2072
4412,2019,11,November,Ubon Ratchathani,1082
4489,2019,12,December,Ubon Ratchathani,313
4566,2020,1,January,Ubon Ratchathani,321
4643,2020,2,February,Ubon Ratchathani,444
4720,2020,3,March,Ubon Ratchathani,396
4797,2020,4,April,Ubon Ratchathani,447
4874,2020,5,May,Ubon Ratchathani,1241
4951,2020,6,June,Ubon Ratchathani,1921
5028,2020,7,July,Ubon Ratchathani,2564
5105,2020,8,August,Ubon Ratchathani,1554
5182,2020,9,September,Ubon Ratchathani,1013
5259,2020,10,October,Ubon Ratchathani,384
5336,2020,11,November,Ubon Ratchathani,129
5413,2020,12,December,Ubon Ratchathani,70
